breadcrumb,category,today_count,baseline,surge_pct
CUSTOMER'S OWN INFRASTRUCTURE,tech,1,1.0,0.0
CUSTOMERS OR PATIENT,tech,1,1.0,0.0
CUSTOMIZABLE SKILL LIBRARY,tech,1,1.0,0.0
CVE 2026 3055 CITRIX NETSCALER OUT-OF-BOUNDS READ VULNERABILITY,attack_vector,1,1.0,0.0
CVE-2024-13088,vulnerability,1,1.0,0.0
CVE-2025-62840,vulnerability,1,1.0,0.0
CVE-2025-62843,vulnerability,1,1.0,0.0
CVE-2025-62844,vulnerability,1,1.0,0.0
CVE-2025-62846,vulnerability,1,1.0,0.0
CVE-2025-70951,vulnerability,1,1.0,0.0
CVE-2026-0956,vulnerability,1,1.0,0.0
CVE-2026-0957,vulnerability,1,1.0,0.0
CVE-2026-20690,vulnerability,1,1.0,0.0
CVE-2026-20695,vulnerability,1,1.0,0.0
CVE-2026-21518,vulnerability,1,1.0,0.0
CVE-2026-22769,vulnerability,1,1.0,0.0
CVE-2026-27663,vulnerability,1,1.0,0.0
CVE-2026-3690,vulnerability,1,1.0,0.0
CVE-2026-3775,vulnerability,1,1.0,0.0
CVE-2026-4698,vulnerability,1,1.0,0.0
CVE-2026-5053,vulnerability,1,1.0,0.0
CVE-2026-5054,vulnerability,1,1.0,0.0
CWE-259,vulnerability,1,1.0,0.0
CWE-502,vulnerability,1,1.0,0.0
CWE-787,vulnerability,1,1.0,0.0
CYBER TRIAGE,tech,1,1.0,0.0
CYBERCRIMINAL,threat_actor,1,1.0,0.0
CYBERSECURITY THREAT,tech,1,1.0,0.0
DAILY EQUITY DATUM,tech,1,1.0,0.0
DARKPEONY,attack_vector,1,1.0,0.0
DASHCAM VIDEO,attack_vector,1,1.0,0.0
DATA AUGMENTATION STRATEGY,tech,1,1.0,0.0
DATA EXFILTRATION,attack_vector,1,1.0,0.0
DATA MANIFOLD,tech,1,1.0,0.0
DATA PIPELINE,tech,1,1.0,0.0
DATA RACE,attack_vector,1,1.0,0.0
DATA SITE,tech,1,1.0,0.0
DATABASE TOOL,tech,1,1.0,0.0
DAWN,tech,1,1.0,0.0
DDCL-INCRT,tech,1,1.0,0.0
DDPM SOLVER,tech,1,1.0,0.0
DEALER,tech,1,1.0,0.0
DEBRIS-COVERED GLACIER,tech,1,1.0,0.0
DECENTRALIZED OS STATE MANAGEMENT,tech,1,1.0,0.0
DECISION-CRITICAL FACTOR,tech,1,1.0,0.0
DECISION-MAKER,tech,1,1.0,0.0
DECISION-MAKING PROCES,threat_actor,1,1.0,0.0
DEDELAYED,tech,1,1.0,0.0
DEEP GENERATIVE MODEL,tech,1,1.0,0.0
DEEP LEARNING,tech,1,1.0,0.0
DEEP LEARNING (DL),tech,1,1.0,0.0
DEEP LEARNING METHOD,tech,1,1.0,0.0
DEEP LEARNING MODEL,tech,1,1.0,0.0
DEEP LEARNING-BASED IMAGE DENOISING TECHNIQUE,tech,1,1.0,0.0
DEEP NEURAL NETWORK,tech,1,1.0,0.0
DEEP POLICY RESEARCH,tech,1,1.0,0.0
DEEP REINFORCEMENT LEARNING,tech,1,1.0,0.0
DEEP REINFORCEMENT LEARNING (DRL),tech,1,1.0,0.0
DEEPER SOFTWARE CAPABILITY,tech,1,1.0,0.0
DEEPL,tech,1,1.0,0.0
DEEPLOAD,attack_vector,1,1.0,0.0
DEFECTS4J,tech,1,1.0,0.0
DEFENDER,tech,1,1.0,0.0
DEFORMED SHAPE INSTANCE,tech,1,1.0,0.0
DEFUSED CYBER,attack_vector,1,1.0,0.0
DELIVERY-TRACKED DATUM,tech,1,1.0,0.0
DEM,tech,1,1.0,0.0
DENIAL-OF-SERVICE (DOS),attack_vector,1,1.0,0.0
DENOISING GENERATIVE MODEL,tech,1,1.0,0.0
DENSELY ANNOTATED DATASET,tech,1,1.0,0.0
DEPRECATED PROTOCOL,attack_vector,1,1.0,0.0
DESTRUCTIVE ATTACK,attack_vector,1,1.0,0.0
DETERMINISTIC ITERATIVE METHOD,tech,1,1.0,0.0
DETERMINISTIC POLICY,tech,1,1.0,0.0
DETERMINISTIC ROBOTIC CONTROL POLICY,tech,1,1.0,0.0
DETR,tech,1,1.0,0.0
DEVELOPER CREDENTIAL ECONOMY,attack_vector,1,1.0,0.0
DEVICE-RELATED SECURITY AND PRIVACY VULNERABILITY,attack_vector,1,1.0,0.0
DIE LINKE,tech,1,1.0,0.0
